                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6073,                 3.3699,                 3.1149,                0.61432,                0.57335,                0.60369,                0.29469,                 1.8307,                 1.7996,                 2.4432,             0.00041612,             0.00041612,             0.00041612
                      2,                 1.8131,                 1.7888,                 2.1421,                0.63944,                0.63897,                0.68514,                0.35857,                 1.7345,                 1.5721,                 2.2236,              0.0008163,              0.0008163,              0.0008163
                      3,                 1.6946,                 1.5109,                 1.9738,                0.79696,                0.67345,                0.76445,                0.41325,                 1.6368,                 1.3875,                 2.1411,                 0.0012,                 0.0012,                 0.0012
                      4,                   1.63,                 1.3682,                 1.9057,                0.68073,                0.60908,                0.68097,                0.39677,                 1.6163,                 1.6701,                 2.1062,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.5652,                 1.2391,                 1.8376,                0.80155,                0.78331,                0.84484,                0.46857,                 1.5857,                  1.058,                 2.0543,               0.001151,               0.001151,               0.001151
                      6,                 1.5286,                 1.1553,                 1.8059,                0.78069,                0.73973,                0.80835,                0.45548,                 1.5989,                   1.12,                 2.0655,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.5018,                 1.1019,                 1.7877,                0.83585,                0.77914,                0.84202,                0.46971,                 1.5904,                 1.0191,                 2.0457,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.4829,                   1.07,                 1.7666,                 0.8077,                0.81157,                0.86231,                0.50042,                 1.5397,                0.93657,                 1.9849,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.4532,                  1.024,                 1.7412,                 0.7877,                0.69699,                0.78547,                0.44746,                 1.6123,                 1.2525,                 2.0706,               0.001052,               0.001052,               0.001052
                     10,                 1.4401,                 1.0018,                 1.7293,                0.79606,                 0.7738,                0.84235,                0.48702,                  1.536,                      1,                 2.0023,              0.0010273,              0.0010273,              0.0010273
                     11,                  1.414,                0.95122,                 1.7022,                0.87481,                0.80942,                0.87417,                0.51525,                 1.5215,                0.89829,                 1.9717,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.3983,                0.92024,                 1.6901,                0.85767,                0.82108,                0.88133,                0.51353,                 1.5221,                0.86255,                 1.9768,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.3727,                0.89263,                 1.6742,                0.88017,                0.80819,                 0.8853,                0.52613,                 1.5091,                0.85148,                 1.9725,               0.000953,               0.000953,               0.000953
